ID,medv
3,34.22846758
6,25.29443976
8,15.72419022
9,13.96643286
10,18.55940566
18,17.92605181
20,19.72444303
25,16.01337954
26,15.86456061
27,17.05206522
29,18.73867331
30,20.54790581
33,17.44077323
34,15.24851585
36,22.51667146
37,21.84591462
38,23.52541709
42,30.66565231
49,15.83546064
53,25.31599886
60,21.9610783
63,22.76135356
70,22.80640254
72,20.82676249
79,21.50958719
80,21.44587724
83,23.45755545
92,23.21487149
93,24.09670871
96,28.78945705
98,41.50834305
99,43.04013585
100,33.75002062
105,20.6997434
106,17.97560974
111,20.58239602
113,19.04400167
114,18.37619239
116,19.88937743
126,19.47553728
130,16.54662071
131,19.08115174
133,20.15281762
136,17.26155972
141,15.01663894
144,13.80078559
145,14.19796501
147,16.40807825
152,18.80977359
153,23.21799059
156,17.32427414
158,36.048812
163,48.96799117
169,22.18459598
185,22.21612657
186,22.87095612
189,30.71960048
196,46.45469154
197,35.46069608
199,32.10176541
200,31.67640958
203,44.17518181
208,18.81122628
210,17.21635944
211,19.29829647
213,20.53302526
216,24.39164251
218,23.76899554
219,19.20145558
220,23.23506093
221,28.89903516
229,42.26095632
232,33.47818834
238,33.28151258
239,24.60491763
240,26.78656296
242,20.39594175
246,17.2246287
248,19.92061838
253,32.62912373
255,21.47187328
256,21.02906613
257,41.61204369
258,45.9729127
259,34.02053659
260,28.70339397
268,41.24307415
270,20.91467463
271,20.92714289
276,31.53734343
277,34.89541758
278,32.48964482
279,25.09843629
281,45.03580644
288,23.12883881
290,23.95758127
292,34.84577349
295,21.79306335
296,27.3761389
299,27.60945818
300,35.7298757
301,29.52198911
308,29.54632917
314,23.1176186
315,25.83761885
320,20.88464573
322,23.60869103
323,23.26356631
324,19.52375575
327,24.33267763
330,24.16815861
332,19.18823464
333,20.45503164
336,21.06940217
338,19.68800125
346,20.56643695
347,19.97073334
351,22.49388033
352,25.09057232
354,26.89134745
355,18.4357791
356,20.19890327
362,20.41035285
364,18.77238375
365,44.07216801
370,47.34424193
376,22.87778603
379,12.25374967
380,12.84386118
381,15.7160449
382,12.11505911
386,9.368134444
389,9.273125661
391,15.89449803
394,15.30289899
396,14.03027484
398,13.14958204
400,12.6230108
403,11.88840538
405,8.934665597
406,7.23417352
407,14.7919494
410,15.36234564
411,22.11010453
412,13.68473595
413,12.39747187
417,11.2684337
421,15.71740981
422,17.07488996
423,20.04521369
424,15.3294263
427,13.71076977
431,14.98809952
436,12.94678085
437,12.65705341
439,9.688528183
447,17.24608058
450,14.50898855
451,14.10552413
455,13.2186712
457,15.04646211
471,20.07954427
474,25.69711728
476,16.13190659
483,31.44407492
486,21.48179305
490,11.98650701
495,20.68369578
496,19.54934403
497,18.28028835
499,20.66484817
501,20.29296368
505,24.3003797
